success,timeout,method,time,solution,num_vars,trial,initial_awt,awt_thr,initial_active,bundle_size,error
True,False,mm_bundled,0.5687891502573033,"frozenset({12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23})",25,2,0.2111111111111111,0.1688888888888889,9,12.0,
True,False,bfs,34367.5135158052,"frozenset({0, 1, 2, 3, 4, 9, 10})",25,3,0.2,0.16000000000000003,10,,
True,False,mm,22892.032032962827,"frozenset({0, 17, 1, 23, 24, 9, 13})",25,3,0.2,0.16000000000000003,10,,
True,False,mm_bundled,4.225659564286232,"frozenset({0, 1, 2, 3, 4, 10, 11, 12, 13, 14, 20, 21, 22, 23, 24})",25,3,0.2,0.16000000000000003,10,5.0,
True,False,mm_bundled,1.4497653432579796,,25,3,0.2,0.16000000000000003,10,12.0,
True,False,bfs,1787.4971420716174,"frozenset({0, 1, 3, 4})",25,4,0.24285714285714285,0.19428571428571428,7,,
True,False,mm,1692.0030131631615,"frozenset({24, 0, 19, 23})",25,4,0.24285714285714285,0.19428571428571428,7,,
True,False,mm_bundled,1.3180178369794362,"frozenset({20, 21, 22, 23, 24})",25,4,0.24285714285714285,0.19428571428571428,7,5.0,
True,False,mm_bundled,0.4199456822740899,"frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11})",25,4,0.24285714285714285,0.19428571428571428,7,12.0,
True,False,bfs,-232.2498786063556,"frozenset({2, 5, 6, 7, 8})",25,5,0.225,0.18000000000000002,8,,
True,False,mm,6511.9956049215125,"frozenset({2, 23, 5, 7, 24})",25,5,0.225,0.18000000000000002,8,,
True,False,mm_bundled,1.2950433431342303,"frozenset({20, 21, 22, 23, 24})",25,5,0.225,0.18000000000000002,8,5.0,
True,False,mm_bundled,0.5967892987387522,"frozenset({12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23})",25,5,0.225,0.18000000000000002,8,12.0,
False,True,bfs,2.0,,25,6,0.17692307692307693,0.14153846153846156,13,,
True,False,mm,12214.993948897729,"frozenset({1, 3, 6, 7, 8, 9, 10, 13, 15, 17, 20, 23})",25,6,0.17692307692307693,0.14153846153846156,13,,
True,False,mm_bundled,5.817134093338439,,25,6,0.17692307692307693,0.14153846153846156,13,5.0,
True,False,mm_bundled,1.4497825093956895,,25,6,0.17692307692307693,0.14153846153846156,13,12.0,
False,True,bfs,2.0,,25,7,0.17692307692307693,0.14153846153846156,13,,
True,False,mm,14315.274071430227,"frozenset({0, 4, 7, 8, 10, 11, 12, 15, 16, 19, 20, 24})",25,7,0.17692307692307693,0.14153846153846156,13,,
True,False,mm_bundled,5.781741386598441,,25,7,0.17692307692307693,0.14153846153846156,13,5.0,
True,False,mm_bundled,1.445376019028572,,25,7,0.17692307692307693,0.14153846153846156,13,12.0,
False,True,bfs,2.0,,25,8,0.17692307692307693,0.14153846153846156,13,,
True,False,mm,26969.530132956246,"frozenset({1, 3, 5, 8, 10, 12, 15, 16, 17, 21, 22, 24})",25,8,0.17692307692307693,0.14153846153846156,13,,
True,False,mm_bundled,5.7813489496173815,,25,8,0.17692307692307693,0.14153846153846156,13,5.0,
True,False,mm_bundled,1.4453564687049911,,25,8,0.17692307692307693,0.14153846153846156,13,12.0,
False,True,bfs,2.0,,25,9,0.18333333333333335,0.1466666666666667,12,,
True,False,mm,12450.5212608149,"frozenset({2, 7, 9, 15, 16, 18, 19, 20, 22, 24})",25,9,0.18333333333333335,0.1466666666666667,12,,
True,False,mm_bundled,5.853716142870212,,25,9,0.18333333333333335,0.1466666666666667,12,5.0,
True,False,mm_bundled,1.4780976647405168,,25,9,0.18333333333333335,0.1466666666666667,12,12.0,
False,True,bfs,2.0,,50,0,0.14166666666666666,0.11333333333333334,24,,
False,True,mm,2.0,,50,0,0.14166666666666666,0.11333333333333334,24,,
True,False,mm_bundled,4.504385665441305,,50,0,0.14166666666666666,0.11333333333333334,24,10.0,
True,False,mm_bundled,0.5608285158521937,,50,0,0.14166666666666666,0.11333333333333334,24,25.0,
False,True,bfs,2.0,,50,1,0.13846153846153847,0.11076923076923079,26,,
False,True,mm,2.0,,50,1,0.13846153846153847,0.11076923076923079,26,,
True,False,mm_bundled,4.513156230877939,,50,1,0.13846153846153847,0.11076923076923079,26,10.0,
True,False,mm_bundled,0.5623799766541973,,50,1,0.13846153846153847,0.11076923076923079,26,25.0,
False,True,bfs,2.0,,50,2,0.13448275862068965,0.10758620689655173,29,,
False,True,mm,2.0,,50,2,0.13448275862068965,0.10758620689655173,29,,
True,False,mm_bundled,4.493943907224093,,50,2,0.13448275862068965,0.10758620689655173,29,10.0,
True,False,mm_bundled,0.5625041927339092,,50,2,0.13448275862068965,0.10758620689655173,29,25.0,
False,True,bfs,2.0,,50,3,0.14761904761904762,0.1180952380952381,21,,
False,True,mm,2.0,,50,3,0.14761904761904762,0.1180952380952381,21,,
True,False,mm_bundled,4.51112559840476,,50,3,0.14761904761904762,0.1180952380952381,21,10.0,
True,False,mm_bundled,0.5634241789734915,,50,3,0.14761904761904762,0.1180952380952381,21,25.0,
False,True,bfs,2.0,,50,4,0.13571428571428573,0.1085714285714286,28,,
False,True,mm,2.0,,50,4,0.13571428571428573,0.1085714285714286,28,,
True,False,mm_bundled,4.4996808902209295,,50,4,0.13571428571428573,0.1085714285714286,28,10.0,
True,False,mm_bundled,0.5619206403059023,,50,4,0.13571428571428573,0.1085714285714286,28,25.0,
False,True,bfs,2.0,,50,5,0.14545454545454545,0.11636363636363636,22,,
False,True,mm,2.0,,50,5,0.14545454545454545,0.11636363636363636,22,,
True,False,mm_bundled,4.495338534452912,,50,5,0.14545454545454545,0.11636363636363636,22,10.0,
True,False,mm_bundled,0.5634668558991507,,50,5,0.14545454545454545,0.11636363636363636,22,25.0,
False,True,bfs,2.0,,50,6,0.13846153846153847,0.11076923076923079,26,,
False,True,mm,2.0,,50,6,0.13846153846153847,0.11076923076923079,26,,
True,False,mm_bundled,4.508703725721716,,50,6,0.13846153846153847,0.11076923076923079,26,10.0,
True,False,mm_bundled,0.5694137900352558,,50,6,0.13846153846153847,0.11076923076923079,26,25.0,
False,True,bfs,2.0,,50,7,0.14347826086956522,0.11478260869565218,23,,
False,True,mm,2.0,,50,7,0.14347826086956522,0.11478260869565218,23,,
True,False,mm_bundled,4.498612222887772,,50,7,0.14347826086956522,0.11478260869565218,23,10.0,
True,False,mm_bundled,0.5619316075605408,,50,7,0.14347826086956522,0.11478260869565218,23,25.0,
False,True,bfs,2.0,,50,8,0.14761904761904762,0.1180952380952381,21,,
False,True,mm,2.0,,50,8,0.14761904761904762,0.1180952380952381,21,,
True,False,mm_bundled,4.495380617578121,,50,8,0.14761904761904762,0.1180952380952381,21,10.0,
True,False,mm_bundled,0.5636115759766837,,50,8,0.14761904761904762,0.1180952380952381,21,25.0,
False,True,bfs,2.0,,50,9,0.14,0.11200000000000002,25,,
False,True,mm,2.0,,50,9,0.14,0.11200000000000002,25,,
True,False,mm_bundled,4.501920598977648,,50,9,0.14,0.11200000000000002,25,10.0,
True,False,mm_bundled,0.5634465821584066,,50,9,0.14,0.11200000000000002,25,25.0,
False,True,bfs,2.0,,100,0,0.11851851851851852,0.09481481481481482,54,,
False,True,mm,2.0,,100,0,0.11851851851851852,0.09481481481481482,54,,
True,False,mm_bundled,3.8447567048988276,,100,0,0.11851851851851852,0.09481481481481482,54,20.0,
True,False,mm_bundled,0.4805163010779506,,100,0,0.11851851851851852,0.09481481481481482,54,50.0,
False,True,bfs,2.0,,100,1,0.12040816326530612,0.0963265306122449,49,,
False,True,mm,2.0,,100,1,0.12040816326530612,0.0963265306122449,49,,
True,False,mm_bundled,3.8481282718876173,,100,1,0.12040816326530612,0.0963265306122449,49,20.0,
True,False,mm_bundled,0.4803209761230107,,100,1,0.12040816326530612,0.0963265306122449,49,50.0,
False,True,bfs,2.0,,100,2,0.11960784313725491,0.09568627450980394,51,,
False,True,mm,2.0,,100,2,0.11960784313725491,0.09568627450980394,51,,
True,False,mm_bundled,3.8498774864160623,,100,2,0.11960784313725491,0.09568627450980394,51,20.0,
True,False,mm_bundled,0.48224430897136017,,100,2,0.11960784313725491,0.09568627450980394,51,50.0,
False,True,bfs,2.0,,100,3,0.12127659574468086,0.0970212765957447,47,,
False,True,mm,2.0,,100,3,0.12127659574468086,0.0970212765957447,47,,
True,False,mm_bundled,3.8461386588258932,,100,3,0.12127659574468086,0.0970212765957447,47,20.0,
True,False,mm_bundled,0.480397991580503,,100,3,0.12127659574468086,0.0970212765957447,47,50.0,
False,True,bfs,2.0,,100,4,0.11923076923076924,0.0953846153846154,52,,
False,True,mm,2.0,,100,4,0.11923076923076924,0.0953846153846154,52,,
True,False,mm_bundled,3.8441177878822823,,100,4,0.11923076923076924,0.0953846153846154,52,20.0,
True,False,mm_bundled,0.48029152185489465,,100,4,0.11923076923076924,0.0953846153846154,52,50.0,
False,True,bfs,2.0,,100,5,0.11886792452830189,0.09509433962264152,53,,
False,True,mm,2.0,,100,5,0.11886792452830189,0.09509433962264152,53,,
True,False,mm_bundled,3.856918087655231,,100,5,0.11886792452830189,0.09509433962264152,53,20.0,
True,False,mm_bundled,0.4834892138230501,,100,5,0.11886792452830189,0.09509433962264152,53,50.0,
False,True,bfs,2.0,,100,6,0.11724137931034484,0.09379310344827588,58,,
False,True,mm,2.0,,100,6,0.11724137931034484,0.09379310344827588,58,,
True,False,mm_bundled,3.8531867724088897,,100,6,0.11724137931034484,0.09379310344827588,58,20.0,
True,False,mm_bundled,0.48303705068253144,,100,6,0.11724137931034484,0.09379310344827588,58,50.0,
False,True,bfs,2.0,,100,7,0.1181818181818182,0.09454545454545456,55,,
False,True,mm,2.0,,100,7,0.1181818181818182,0.09454545454545456,55,,
True,False,mm_bundled,3.8464923333304455,,100,7,0.1181818181818182,0.09454545454545456,55,20.0,
True,False,mm_bundled,0.4814023166818515,,100,7,0.1181818181818182,0.09454545454545456,55,50.0,
False,True,bfs,2.0,,100,8,0.11754385964912281,0.09403508771929825,57,,
False,True,mm,2.0,,100,8,0.11754385964912281,0.09403508771929825,57,,
True,False,mm_bundled,3.851869363019438,,100,8,0.11754385964912281,0.09403508771929825,57,20.0,
True,False,mm_bundled,0.4814554840261829,,100,8,0.11754385964912281,0.09403508771929825,57,50.0,
False,True,bfs,2.0,,100,9,0.12325581395348838,0.09860465116279071,43,,
False,True,mm,2.0,,100,9,0.12325581395348838,0.09860465116279071,43,,
True,False,mm_bundled,3.844014453616559,,100,9,0.12325581395348838,0.09860465116279071,43,20.0,
True,False,mm_bundled,0.48116305587492325,,100,9,0.12325581395348838,0.09860465116279071,43,50.0,
False,True,bfs,2.0,,500,0,0.10378787878787879,0.08303030303030304,264,,
False,True,mm,2.0,,500,0,0.10378787878787879,0.08303030303030304,264,,
True,False,mm_bundled,3.332409268266993,,500,0,0.10378787878787879,0.08303030303030304,264,100.0,
True,False,mm_bundled,0.41697839959832095,,500,0,0.10378787878787879,0.08303030303030304,264,250.0,
False,True,bfs,2.0,,500,1,0.10400000000000001,0.08320000000000001,250,,
False,True,mm,2.0,,500,1,0.10400000000000001,0.08320000000000001,250,,
True,False,mm_bundled,3.3323701047984287,,500,1,0.10400000000000001,0.08320000000000001,250,100.0,
True,False,mm_bundled,0.41658392229510355,,500,1,0.10400000000000001,0.08320000000000001,250,250.0,
False,True,bfs,2.0,,500,2,0.10393700787401575,0.0831496062992126,254,,
False,True,mm,2.0,,500,2,0.10393700787401575,0.0831496062992126,254,,
True,False,mm_bundled,55.1411408818327,,500,2,0.10393700787401575,0.0831496062992126,254,100.0,
True,False,mm_bundled,0.41697721570855606,,500,2,0.10393700787401575,0.0831496062992126,254,250.0,
False,True,bfs,2.0,,500,3,0.10381679389312978,0.08305343511450383,262,,
False,True,mm,2.0,,500,3,0.10381679389312978,0.08305343511450383,262,,
True,False,mm_bundled,3.332627043349106,,500,3,0.10381679389312978,0.08305343511450383,262,100.0,
True,False,mm_bundled,0.41714926371886885,,500,3,0.10381679389312978,0.08305343511450383,262,250.0,
False,True,bfs,2.0,,500,4,0.10416666666666667,0.08333333333333334,240,,
False,True,mm,2.0,,500,4,0.10416666666666667,0.08333333333333334,240,,
True,False,mm_bundled,3.332123787902674,,500,4,0.10416666666666667,0.08333333333333334,240,100.0,
True,False,mm_bundled,0.41714753523349657,,500,4,0.10416666666666667,0.08333333333333334,240,250.0,
False,True,bfs,2.0,,500,5,0.104149377593361,0.0833195020746888,241,,
False,True,mm,2.0,,500,5,0.104149377593361,0.0833195020746888,241,,
True,False,mm_bundled,3.3323938101821113,,500,5,0.104149377593361,0.0833195020746888,241,100.0,
True,False,mm_bundled,0.4166475638998577,,500,5,0.104149377593361,0.0833195020746888,241,250.0,
False,True,bfs,2.0,,500,6,0.104149377593361,0.0833195020746888,241,,
False,True,mm,2.0,,500,6,0.104149377593361,0.0833195020746888,241,,
True,False,mm_bundled,3383.5534322823823,,500,6,0.104149377593361,0.0833195020746888,241,100.0,
True,False,mm_bundled,0.4165738925585174,,500,6,0.104149377593361,0.0833195020746888,241,250.0,
False,True,bfs,2.0,,500,7,0.10371747211895911,0.08297397769516729,269,,
False,True,mm,2.0,,500,7,0.10371747211895911,0.08297397769516729,269,,
