success,timeout,method,time,solution,num_vars,trial,initial_awt,awt_thr,initial_active,bundle_size,awt_coeff
True,False,mm_bundled,6.506713561238939,,20,3,0.2111111111111111,0.1688888888888889,9,4.0,0.8
True,False,mm_bundled,0.8046464640684803,,20,3,0.2111111111111111,0.1688888888888889,9,10.0,0.8
False,True,bfs,2.0,,20,4,0.19090909090909092,0.15272727272727274,11,,0.8
True,False,mm,2140.9917029089656,"frozenset({1, 3, 4, 7, 10, 17, 18, 19})",20,4,0.19090909090909092,0.15272727272727274,11,,0.8
True,False,mm_bundled,6.575305550306609,,20,4,0.19090909090909092,0.15272727272727274,11,4.0,0.8
True,False,mm_bundled,0.8042311389036854,,20,4,0.19090909090909092,0.15272727272727274,11,10.0,0.8
False,True,bfs,2.0,,20,5,0.19090909090909092,0.15272727272727274,11,,0.8
True,False,mm,5590.558578728006,"frozenset({0, 4, 6, 7, 8, 9, 10, 19})",20,5,0.19090909090909092,0.15272727272727274,11,,0.8
True,False,mm_bundled,6.586880577929823,,20,5,0.19090909090909092,0.15272727272727274,11,4.0,0.8
True,False,mm_bundled,0.8219596854112617,,20,5,0.19090909090909092,0.15272727272727274,11,10.0,0.8
False,True,bfs,2.0,,20,6,0.19090909090909092,0.15272727272727274,11,,0.8
True,False,mm,1982.65348965698,"frozenset({0, 1, 2, 3, 7, 10, 12, 16})",20,6,0.19090909090909092,0.15272727272727274,11,,0.8
True,False,mm_bundled,6.669247482852029,,20,6,0.19090909090909092,0.15272727272727274,11,4.0,0.8
True,False,mm_bundled,0.8042642790861834,,20,6,0.19090909090909092,0.15272727272727274,11,10.0,0.8
False,True,bfs,2.0,,20,7,0.2,0.16000000000000003,10,,0.8
True,False,mm,1496.215473154848,"frozenset({1, 18, 3, 19, 2, 13, 14})",20,7,0.2,0.16000000000000003,10,,0.8
True,False,mm_bundled,6.620066620054786,,20,7,0.2,0.16000000000000003,10,4.0,0.8
True,False,mm_bundled,0.8001828670501709,,20,7,0.2,0.16000000000000003,10,10.0,0.8
False,True,bfs,2.0,,20,8,0.2,0.16000000000000003,10,,0.8
True,False,mm,2615.30066798613,"frozenset({18, 3, 4, 8, 13, 14, 15})",20,8,0.2,0.16000000000000003,10,,0.8
True,False,mm_bundled,6.619796968641737,,20,8,0.2,0.16000000000000003,10,4.0,0.8
True,False,mm_bundled,0.8085548241933187,,20,8,0.2,0.16000000000000003,10,10.0,0.8
True,False,bfs,3128.677906050725,"frozenset({0, 1, 2, 4})",20,9,0.24285714285714285,0.19428571428571428,7,,0.8
True,False,mm,223.8602918583561,"frozenset({0, 1, 19, 12})",20,9,0.24285714285714285,0.19428571428571428,7,,0.8
True,False,mm_bundled,1.5529242406159938,"frozenset({0, 1, 2, 3, 4, 5, 6, 7})",20,9,0.24285714285714285,0.19428571428571428,7,4.0,0.8
True,False,mm_bundled,0.4199814450609815,"frozenset({0, 1, 2, 3, 4, 5, 6, 7, 8, 9})",20,9,0.24285714285714285,0.19428571428571428,7,10.0,0.8
True,False,bfs,5.488740257232908,"frozenset({0, 2})",20,0,0.24285714285714285,0.21857142857142858,7,,0.9
True,False,mm,5.488814882248167,"frozenset({0, 2})",20,0,0.24285714285714285,0.21857142857142858,7,,0.9
True,False,mm_bundled,0.9420576655675494,"frozenset({8, 9, 10, 11})",20,0,0.24285714285714285,0.21857142857142858,7,4.0,0.9
True,False,mm_bundled,0.6627782680176116,"frozenset({10, 11, 12, 13, 14, 15, 16, 17, 18, 19})",20,0,0.24285714285714285,0.21857142857142858,7,10.0,0.9
True,False,bfs,42.7730928381377,"frozenset({0, 1, 2})",20,1,0.2,0.18000000000000002,10,,0.9
